Ds Município;Dose;Contagem de Id Vacinacao;;;;
FRANCO DA ROCHA;1° DOSE;12837;;;;
FRANCO DA ROCHA;2° DOSE;3786;;;;
GABRIEL MONTEIRO;1° DOSE;358;;;;
GABRIEL MONTEIRO;2° DOSE;82;;;;
GÁLIA;1° DOSE;1049;;;;
GÁLIA;2° DOSE;351;;;;
GARÇA;1° DOSE;5841;;;;
GARÇA;2° DOSE;2045;;;;
GASTÃO VIDIGAL;1° DOSE;515;;;;
GASTÃO VIDIGAL;2° DOSE;140;;;;
GAVIÃO PEIXOTO;1° DOSE;488;;;;
GAVIÃO PEIXOTO;2° DOSE;150;;;;
GENERAL SALGADO;1° DOSE;1633;;;;
GENERAL SALGADO;2° DOSE;498;;;;
GETULINA;1° DOSE;1221;;;;
GETULINA;2° DOSE;486;;;;
GLICÉRIO;1° DOSE;525;;;;
GLICÉRIO;2° DOSE;174;;;;
GUAIÇARA;1° DOSE;1019;;;;
GUAIÇARA;2° DOSE;256;;;;
GUAIMBÊ;1° DOSE;709;;;;
GUAIMBÊ;2° DOSE;251;;;;
GUAÍRA;1° DOSE;3993;;;;
GUAÍRA;2° DOSE;1412;;;;
GUAPIAÇU;1° DOSE;2007;;;;
GUAPIAÇU;2° DOSE;703;;;;
GUAPIARA;1° DOSE;1764;;;;
GUAPIARA;2° DOSE;380;;;;
GUARÁ;1° DOSE;2383;;;;
GUARÁ;2° DOSE;745;;;;
GUARAÇAÍ;1° DOSE;1267;;;;
GUARAÇAÍ;2° DOSE;438;;;;
GUARACI;1° DOSE;1248;;;;
GUARACI;2° DOSE;463;;;;
GUARANI D'OESTE;1° DOSE;273;;;;
GUARANI D'OESTE;2° DOSE;92;;;;
GUARANTÃ;1° DOSE;728;;;;
GUARANTÃ;2° DOSE;265;;;;
GUARARAPES;1° DOSE;3717;;;;
GUARARAPES;2° DOSE;1307;;;;
GUARAREMA;1° DOSE;3211;;;;
GUARAREMA;2° DOSE;954;;;;
GUARATINGUETÁ;1° DOSE;12742;;;;
GUARATINGUETÁ;2° DOSE;3807;;;;
GUAREÍ;1° DOSE;1269;;;;
GUAREÍ;2° DOSE;360;;;;
GUARIBA;1° DOSE;2748;;;;
GUARIBA;2° DOSE;1030;;;;
GUARUJÁ;1° DOSE;28503;;;;
GUARUJÁ;2° DOSE;6483;;;;
GUARULHOS;1° DOSE;85271;;;;
GUARULHOS;2° DOSE;29104;;;;
GUATAPARÁ;1° DOSE;777;;;;
GUATAPARÁ;2° DOSE;227;;;;
GUZOLÂNDIA;1° DOSE;497;;;;
GUZOLÂNDIA;2° DOSE;138;;;;
HERCULÂNDIA;1° DOSE;994;;;;
HERCULÂNDIA;2° DOSE;282;;;;
HOLAMBRA;1° DOSE;1247;;;;
HOLAMBRA;2° DOSE;329;;;;
HORTOLÂNDIA;1° DOSE;14210;;;;
HORTOLÂNDIA;2° DOSE;5060;;;;
IACANGA;1° DOSE;1313;;;;
IACANGA;2° DOSE;391;;;;
IACRI;1° DOSE;812;;;;
IACRI;2° DOSE;255;;;;
IARAS;1° DOSE;539;;;;
IARAS;2° DOSE;168;;;;
IBATÉ;1° DOSE;2467;;;;
IBATÉ;2° DOSE;827;;;;
IBIRÁ;1° DOSE;1691;;;;
IBIRÁ;2° DOSE;569;;;;
IBIRAREMA;1° DOSE;895;;;;
IBIRAREMA;2° DOSE;326;;;;
IBITINGA;1° DOSE;6627;;;;
IBITINGA;2° DOSE;1858;;;;
IBIÚNA;1° DOSE;5899;;;;
IBIÚNA;2° DOSE;1876;;;;
ICÉM;1° DOSE;966;;;;
ICÉM;2° DOSE;262;;;;
IEPÊ;1° DOSE;1145;;;;
IEPÊ;2° DOSE;417;;;;
IGARAÇU DO TIETÊ;1° DOSE;1796;;;;
IGARAÇU DO TIETÊ;2° DOSE;514;;;;
IGARAPAVA;1° DOSE;2952;;;;
IGARAPAVA;2° DOSE;949;;;;
IGARATÁ;1° DOSE;1125;;;;
IGARATÁ;2° DOSE;332;;;;
IGUAPE;1° DOSE;3680;;;;
IGUAPE;2° DOSE;1221;;;;
ILHA COMPRIDA;1° DOSE;1386;;;;
ILHA COMPRIDA;2° DOSE;332;;;;
ILHA SOLTEIRA;1° DOSE;3709;;;;
ILHA SOLTEIRA;2° DOSE;1220;;;;
ILHABELA;1° DOSE;2864;;;;
ILHABELA;2° DOSE;1110;;;;
INDAIATUBA;1° DOSE;24684;;;;
INDAIATUBA;2° DOSE;7868;;;;
INDIANA;1° DOSE;746;;;;
INDIANA;2° DOSE;255;;;;
INDIAPORÃ;1° DOSE;743;;;;
INDIAPORÃ;2° DOSE;239;;;;
INÚBIA PAULISTA;1° DOSE;488;;;;
INÚBIA PAULISTA;2° DOSE;195;;;;
IPAUSSU;1° DOSE;1571;;;;
IPAUSSU;2° DOSE;466;;;;
IPERÓ;1° DOSE;2126;;;;
IPERÓ;2° DOSE;634;;;;
IPEÚNA;1° DOSE;546;;;;
IPEÚNA;2° DOSE;172;;;;
IPIGUÁ;1° DOSE;616;;;;
IPIGUÁ;2° DOSE;175;;;;
IPORANGA;1° DOSE;669;;;;
IPORANGA;2° DOSE;396;;;;
IPUÃ;1° DOSE;1353;;;;
IPUÃ;2° DOSE;445;;;;
IRACEMÁPOLIS;1° DOSE;2110;;;;
IRACEMÁPOLIS;2° DOSE;714;;;;
IRAPUÃ;1° DOSE;845;;;;
IRAPUÃ;2° DOSE;323;;;;
IRAPURU;1° DOSE;953;;;;
IRAPURU;2° DOSE;200;;;;
ITABERÁ;1° DOSE;1971;;;;
ITABERÁ;2° DOSE;627;;;;
ITAÍ;1° DOSE;2208;;;;
ITAÍ;2° DOSE;661;;;;
ITAJOBI;1° DOSE;2220;;;;
ITAJOBI;2° DOSE;751;;;;
ITAJU;1° DOSE;430;;;;
ITAJU;2° DOSE;134;;;;
ITANHAÉM;1° DOSE;12939;;;;
ITANHAÉM;2° DOSE;4320;;;;
ITAOCA;1° DOSE;553;;;;
ITAOCA;2° DOSE;232;;;;
ITAPECERICA DA SERRA;1° DOSE;11342;;;;
ITAPECERICA DA SERRA;2° DOSE;4019;;;;
ITAPETININGA;1° DOSE;17706;;;;
ITAPETININGA;2° DOSE;5870;;;;
ITAPEVA;1° DOSE;9617;;;;
ITAPEVA;2° DOSE;3015;;;;
ITAPEVI;1° DOSE;11726;;;;
ITAPEVI;2° DOSE;3677;;;;
ITAPIRA;1° DOSE;8336;;;;
ITAPIRA;2° DOSE;2781;;;;
ITAPIRAPUÃ PAULISTA;1° DOSE;375;;;;
ITAPIRAPUÃ PAULISTA;2° DOSE;81;;;;
ITÁPOLIS;1° DOSE;5417;;;;
ITÁPOLIS;2° DOSE;1725;;;;
ITAPORANGA;1° DOSE;1784;;;;
ITAPORANGA;2° DOSE;508;;;;
ITAPUÍ;1° DOSE;1287;;;;
ITAPUÍ;2° DOSE;437;;;;
ITAPURA;1° DOSE;539;;;;
ITAPURA;2° DOSE;151;;;;
ITAQUAQUECETUBA;1° DOSE;15803;;;;
ITAQUAQUECETUBA;2° DOSE;4368;;;;
ITARARÉ;1° DOSE;4525;;;;
ITARARÉ;2° DOSE;1032;;;;
ITARIRI;1° DOSE;1507;;;;
ITARIRI;2° DOSE;505;;;;
ITATIBA;1° DOSE;11048;;;;
ITATIBA;2° DOSE;3180;;;;
ITATINGA;1° DOSE;1621;;;;
ITATINGA;2° DOSE;371;;;;
ITIRAPINA;1° DOSE;1605;;;;
ITIRAPINA;2° DOSE;513;;;;
ITIRAPUÃ;1° DOSE;858;;;;
ITIRAPUÃ;2° DOSE;165;;;;
ITOBI;1° DOSE;817;;;;
ITOBI;2° DOSE;265;;;;
ITU;1° DOSE;17543;;;;
ITU;2° DOSE;5598;;;;
ITUPEVA;1° DOSE;3490;;;;
ITUPEVA;2° DOSE;1074;;;;
ITUVERAVA;1° DOSE;4990;;;;
ITUVERAVA;2° DOSE;1374;;;;
JABORANDI;1° DOSE;771;;;;
JABORANDI;2° DOSE;287;;;;
JABOTICABAL;1° DOSE;8846;;;;
JABOTICABAL;2° DOSE;2968;;;;
JACAREÍ;1° DOSE;24145;;;;
JACAREÍ;2° DOSE;9332;;;;
JACI;1° DOSE;924;;;;
JACI;2° DOSE;348;;;;
JACUPIRANGA;1° DOSE;1558;;;;
JACUPIRANGA;2° DOSE;539;;;;
JAGUARIÚNA;1° DOSE;4905;;;;
JAGUARIÚNA;2° DOSE;1537;;;;
JALES;1° DOSE;7732;;;;
JALES;2° DOSE;2429;;;;
JAMBEIRO;1° DOSE;403;;;;
JAMBEIRO;2° DOSE;163;;;;
JANDIRA;1° DOSE;6145;;;;
JANDIRA;2° DOSE;2193;;;;
JARDINÓPOLIS;1° DOSE;3169;;;;
JARDINÓPOLIS;2° DOSE;1051;;;;
JARINU;1° DOSE;2581;;;;
JARINU;2° DOSE;700;;;;
JAÚ;1° DOSE;18880;;;;
JAÚ;2° DOSE;6510;;;;
JERIQUARA;1° DOSE;371;;;;
JERIQUARA;2° DOSE;118;;;;
JOANÓPOLIS;1° DOSE;1660;;;;
JOANÓPOLIS;2° DOSE;499;;;;
JOÃO RAMALHO;1° DOSE;360;;;;
JOÃO RAMALHO;2° DOSE;136;;;;
JOSÉ BONIFÁCIO;1° DOSE;4193;;;;
JOSÉ BONIFÁCIO;2° DOSE;1424;;;;
JÚLIO MESQUITA;1° DOSE;456;;;;
JÚLIO MESQUITA;2° DOSE;104;;;;
JUMIRIM;1° DOSE;296;;;;
JUMIRIM;2° DOSE;107;;;;
JUNDIAÍ;1° DOSE;47429;;;;
JUNDIAÍ;2° DOSE;14474;;;;
JUNQUEIRÓPOLIS;1° DOSE;2784;;;;
JUNQUEIRÓPOLIS;2° DOSE;761;;;;
JUQUIÁ;1° DOSE;2012;;;;
JUQUIÁ;2° DOSE;471;;;;
JUQUITIBA;1° DOSE;2895;;;;
JUQUITIBA;2° DOSE;948;;;;
LAGOINHA;1° DOSE;756;;;;
LAGOINHA;2° DOSE;270;;;;
LARANJAL PAULISTA;1° DOSE;3216;;;;
LARANJAL PAULISTA;2° DOSE;955;;;;
LAVÍNIA;1° DOSE;782;;;;
LAVÍNIA;2° DOSE;210;;;;
