Município;Dose;Total Doses Aplicadas;;;;
ANHEMBI;1° DOSE;1025;;;;
ANHEMBI;2° DOSE;472;;;;
ANHUMAS;1° DOSE;781;;;;
ANHUMAS;2° DOSE;473;;;;
APARECIDA;1° DOSE;6016;;;;
APARECIDA;2° DOSE;3436;;;;
APARECIDA D'OESTE;1° DOSE;1193;;;;
APARECIDA D'OESTE;2° DOSE;731;;;;
APIAÍ;1° DOSE;3796;;;;
APIAÍ;2° DOSE;2200;;;;
ARAÇARIGUAMA;1° DOSE;2156;;;;
ARAÇARIGUAMA;2° DOSE;1368;;;;
ARAÇATUBA;1° DOSE;40179;;;;
ARAÇATUBA;2° DOSE;24501;;;;
ARAÇOIABA DA SERRA;1° DOSE;4744;;;;
ARAÇOIABA DA SERRA;2° DOSE;2792;;;;
ARAMINA;1° DOSE;1003;;;;
ARAMINA;2° DOSE;584;;;;
ARANDU;1° DOSE;1117;;;;
ARANDU;2° DOSE;613;;;;
ARAPEÍ;1° DOSE;478;;;;
ARAPEÍ;2° DOSE;299;;;;
ARARAQUARA;1° DOSE;46966;;;;
ARARAQUARA;2° DOSE;28661;;;;
ARARAS;1° DOSE;23766;;;;
ARARAS;2° DOSE;14760;;;;
ARCO-ÍRIS;1° DOSE;562;;;;
ARCO-ÍRIS;2° DOSE;428;;;;
AREALVA;1° DOSE;1936;;;;
AREALVA;2° DOSE;1048;;;;
AREIAS;1° DOSE;676;;;;
AREIAS;2° DOSE;399;;;;
AREIÓPOLIS;1° DOSE;1308;;;;
AREIÓPOLIS;2° DOSE;669;;;;
ARIRANHA;1° DOSE;1643;;;;
ARIRANHA;2° DOSE;1007;;;;
ARTUR NOGUEIRA;1° DOSE;7250;;;;
ARTUR NOGUEIRA;2° DOSE;3957;;;;
ARUJÁ;1° DOSE;11277;;;;
ARUJÁ;2° DOSE;6088;;;;
ASPÁSIA;1° DOSE;440;;;;
ASPÁSIA;2° DOSE;257;;;;
ASSIS;1° DOSE;19985;;;;
ASSIS;2° DOSE;11745;;;;
ATIBAIA;1° DOSE;25211;;;;
ATIBAIA;2° DOSE;14240;;;;
AURIFLAMA;1° DOSE;2799;;;;
AURIFLAMA;2° DOSE;1651;;;;
AVAÍ;1° DOSE;1226;;;;
AVAÍ;2° DOSE;828;;;;
AVANHANDAVA;1° DOSE;1511;;;;
AVANHANDAVA;2° DOSE;914;;;;
AVARÉ;1° DOSE;16195;;;;
AVARÉ;2° DOSE;9347;;;;
BADY BASSITT;1° DOSE;3064;;;;
BADY BASSITT;2° DOSE;1869;;;;
BALBINOS;1° DOSE;361;;;;
BALBINOS;2° DOSE;133;;;;
BÁLSAMO;1° DOSE;1918;;;;
BÁLSAMO;2° DOSE;1212;;;;
BANANAL;1° DOSE;2046;;;;
BANANAL;2° DOSE;1323;;;;
BARÃO DE ANTONINA;1° DOSE;695;;;;
BARÃO DE ANTONINA;2° DOSE;424;;;;
BARBOSA;1° DOSE;1148;;;;
BARBOSA;2° DOSE;695;;;;
BARIRI;1° DOSE;6496;;;;
BARIRI;2° DOSE;3676;;;;
BARRA BONITA;1° DOSE;7114;;;;
BARRA BONITA;2° DOSE;4230;;;;
BARRA DO CHAPÉU;1° DOSE;742;;;;
BARRA DO CHAPÉU;2° DOSE;396;;;;
BARRA DO TURVO;1° DOSE;1931;;;;
BARRA DO TURVO;2° DOSE;1213;;;;
BARRETOS;1° DOSE;24776;;;;
BARRETOS;2° DOSE;14843;;;;
BARRINHA;1° DOSE;3213;;;;
BARRINHA;2° DOSE;1921;;;;
BARUERI;1° DOSE;37439;;;;
BARUERI;2° DOSE;22256;;;;
BASTOS;1° DOSE;3810;;;;
BASTOS;2° DOSE;2045;;;;
BATATAIS;1° DOSE;11058;;;;
BATATAIS;2° DOSE;6179;;;;
BAURU;1° DOSE;71987;;;;
BAURU;2° DOSE;41733;;;;
BEBEDOURO;1° DOSE;15020;;;;
BEBEDOURO;2° DOSE;9017;;;;
BENTO DE ABREU;1° DOSE;419;;;;
BENTO DE ABREU;2° DOSE;257;;;;
BERNARDINO DE CAMPOS;1° DOSE;2406;;;;
BERNARDINO DE CAMPOS;2° DOSE;1421;;;;
BERTIOGA;1° DOSE;7696;;;;
BERTIOGA;2° DOSE;4400;;;;
BILAC;1° DOSE;1799;;;;
BILAC;2° DOSE;1060;;;;
BIRIGUI;1° DOSE;17674;;;;
BIRIGUI;2° DOSE;9879;;;;
BIRITIBA MIRIM;1° DOSE;4254;;;;
BIRITIBA MIRIM;2° DOSE;2556;;;;
BOA ESPERANÇA DO SUL;1° DOSE;1955;;;;
BOA ESPERANÇA DO SUL;2° DOSE;1172;;;;
BOCAINA;1° DOSE;1921;;;;
BOCAINA;2° DOSE;1097;;;;
BOFETE;1° DOSE;1999;;;;
BOFETE;2° DOSE;1099;;;;
BOITUVA;1° DOSE;7864;;;;
BOITUVA;2° DOSE;4345;;;;
BOM JESUS DOS PERDÕES;1° DOSE;3109;;;;
BOM JESUS DOS PERDÕES;2° DOSE;1494;;;;
BOM SUCESSO DE ITARARÉ;1° DOSE;398;;;;
BOM SUCESSO DE ITARARÉ;2° DOSE;197;;;;
BORÁ;1° DOSE;187;;;;
BORÁ;2° DOSE;123;;;;
BORACÉIA;1° DOSE;858;;;;
BORACÉIA;2° DOSE;533;;;;
BORBOREMA;1° DOSE;2931;;;;
BORBOREMA;2° DOSE;1673;;;;
BOREBI;1° DOSE;395;;;;
BOREBI;2° DOSE;182;;;;
BOTUCATU;1° DOSE;32059;;;;
BOTUCATU;2° DOSE;18461;;;;
BRAGANÇA PAULISTA;1° DOSE;30361;;;;
BRAGANÇA PAULISTA;2° DOSE;18733;;;;
BRAÚNA;1° DOSE;1095;;;;
BRAÚNA;2° DOSE;687;;;;
BREJO ALEGRE;1° DOSE;507;;;;
BREJO ALEGRE;2° DOSE;358;;;;
BRODOWSKI;1° DOSE;3983;;;;
BRODOWSKI;2° DOSE;2435;;;;
BROTAS;1° DOSE;3878;;;;
BROTAS;2° DOSE;2269;;;;
BURI;1° DOSE;2512;;;;
BURI;2° DOSE;1370;;;;
BURITAMA;1° DOSE;3118;;;;
BURITAMA;2° DOSE;1833;;;;
BURITIZAL;1° DOSE;937;;;;
BURITIZAL;2° DOSE;498;;;;
CABRÁLIA PAULISTA;1° DOSE;759;;;;
CABRÁLIA PAULISTA;2° DOSE;436;;;;
CABREÚVA;1° DOSE;5059;;;;
CABREÚVA;2° DOSE;2339;;;;
CAÇAPAVA;1° DOSE;14344;;;;
CAÇAPAVA;2° DOSE;9076;;;;
CACHOEIRA PAULISTA;1° DOSE;5711;;;;
CACHOEIRA PAULISTA;2° DOSE;3272;;;;
CACONDE;1° DOSE;3426;;;;
CACONDE;2° DOSE;1943;;;;
CAFELÂNDIA;1° DOSE;3141;;;;
CAFELÂNDIA;2° DOSE;1880;;;;
CAIABU;1° DOSE;765;;;;
CAIABU;2° DOSE;437;;;;
CAIEIRAS;1° DOSE;13243;;;;
CAIEIRAS;2° DOSE;6927;;;;
CAIUÁ;1° DOSE;967;;;;
CAIUÁ;2° DOSE;641;;;;
CAJAMAR;1° DOSE;8185;;;;
CAJAMAR;2° DOSE;3371;;;;
CAJATI;1° DOSE;3719;;;;
CAJATI;2° DOSE;2240;;;;
CAJOBI;1° DOSE;1938;;;;
CAJOBI;2° DOSE;1083;;;;
CAJURU;1° DOSE;4244;;;;
CAJURU;2° DOSE;2624;;;;
CAMPINA DO MONTE ALEGRE;1° DOSE;1014;;;;
CAMPINA DO MONTE ALEGRE;2° DOSE;519;;;;
CAMPINAS;1° DOSE;203479;;;;
CAMPINAS;2° DOSE;128110;;;;
CAMPO LIMPO PAULISTA;1° DOSE;10430;;;;
CAMPO LIMPO PAULISTA;2° DOSE;5229;;;;
CAMPOS DO JORDÃO;1° DOSE;7323;;;;
CAMPOS DO JORDÃO;2° DOSE;4311;;;;
CAMPOS NOVOS PAULISTA;1° DOSE;837;;;;
CAMPOS NOVOS PAULISTA;2° DOSE;503;;;;
CANANÉIA;1° DOSE;2284;;;;
CANANÉIA;2° DOSE;1224;;;;
CANAS;1° DOSE;640;;;;
CANAS;2° DOSE;320;;;;
CÂNDIDO MOTA;1° DOSE;5398;;;;
CÂNDIDO MOTA;2° DOSE;3095;;;;
CÂNDIDO RODRIGUES;1° DOSE;677;;;;
CÂNDIDO RODRIGUES;2° DOSE;383;;;;
CANITAR;1° DOSE;593;;;;
CANITAR;2° DOSE;341;;;;
CAPÃO BONITO;1° DOSE;7098;;;;
CAPÃO BONITO;2° DOSE;3834;;;;
CAPELA DO ALTO;1° DOSE;2766;;;;
CAPELA DO ALTO;2° DOSE;1453;;;;
CAPIVARI;1° DOSE;7681;;;;
CAPIVARI;2° DOSE;4266;;;;
CARAGUATATUBA;1° DOSE;15290;;;;
CARAGUATATUBA;2° DOSE;9456;;;;
CARAPICUÍBA;1° DOSE;46845;;;;
CARAPICUÍBA;2° DOSE;24357;;;;
CARDOSO;1° DOSE;2589;;;;
CARDOSO;2° DOSE;1518;;;;
CASA BRANCA;1° DOSE;5264;;;;
CASA BRANCA;2° DOSE;3057;;;;
CÁSSIA DOS COQUEIROS;1° DOSE;597;;;;
CÁSSIA DOS COQUEIROS;2° DOSE;310;;;;
CASTILHO;1° DOSE;3975;;;;
CASTILHO;2° DOSE;1985;;;;
CATANDUVA;1° DOSE;26490;;;;
CATANDUVA;2° DOSE;17953;;;;
CATIGUÁ;1° DOSE;1278;;;;
CATIGUÁ;2° DOSE;716;;;;
CEDRAL;1° DOSE;2292;;;;
CEDRAL;2° DOSE;1237;;;;
CERQUEIRA CÉSAR;1° DOSE;3275;;;;
CERQUEIRA CÉSAR;2° DOSE;1919;;;;
CERQUILHO;1° DOSE;6918;;;;
CERQUILHO;2° DOSE;3732;;;;
CESÁRIO LANGE;1° DOSE;2426;;;;
CESÁRIO LANGE;2° DOSE;1421;;;;
CHARQUEADA;1° DOSE;2267;;;;
CHARQUEADA;2° DOSE;1436;;;;
CHAVANTES;1° DOSE;2123;;;;
CHAVANTES;2° DOSE;1115;;;;
CLEMENTINA;1° DOSE;1147;;;;
CLEMENTINA;2° DOSE;644;;;;
COLINA;1° DOSE;3484;;;;
COLINA;2° DOSE;1831;;;;
COLÔMBIA;1° DOSE;1083;;;;
COLÔMBIA;2° DOSE;659;;;;
CONCHAL;1° DOSE;3693;;;;
CONCHAL;2° DOSE;2168;;;;
CONCHAS;1° DOSE;3184;;;;
CONCHAS;2° DOSE;1749;;;;
CORDEIRÓPOLIS;1° DOSE;3327;;;;
CORDEIRÓPOLIS;2° DOSE;1767;;;;
COROADOS;1° DOSE;940;;;;
COROADOS;2° DOSE;527;;;;
CORONEL MACEDO;1° DOSE;916;;;;
CORONEL MACEDO;2° DOSE;552;;;;
CORUMBATAÍ;1° DOSE;681;;;;
CORUMBATAÍ;2° DOSE;471;;;;
COSMÓPOLIS;1° DOSE;7902;;;;
COSMÓPOLIS;2° DOSE;4336;;;;
COSMORAMA;1° DOSE;1649;;;;
COSMORAMA;2° DOSE;1042;;;;
COTIA;1° DOSE;31011;;;;
COTIA;2° DOSE;14146;;;;
CRAVINHOS;1° DOSE;5150;;;;
CRAVINHOS;2° DOSE;2744;;;;
CRISTAIS PAULISTA;1° DOSE;1383;;;;
CRISTAIS PAULISTA;2° DOSE;786;;;;
CRUZÁLIA;1° DOSE;502;;;;
CRUZÁLIA;2° DOSE;233;;;;
CRUZEIRO;1° DOSE;13866;;;;
CRUZEIRO;2° DOSE;7737;;;;
CUBATÃO;1° DOSE;15613;;;;
CUBATÃO;2° DOSE;8987;;;;
CUNHA;1° DOSE;3905;;;;
CUNHA;2° DOSE;2188;;;;
DESCALVADO;1° DOSE;6841;;;;
DESCALVADO;2° DOSE;4394;;;;
DIADEMA;1° DOSE;52177;;;;
DIADEMA;2° DOSE;24554;;;;
DIRCE REIS;1° DOSE;404;;;;
DIRCE REIS;2° DOSE;251;;;;
DIVINOLÂNDIA;1° DOSE;2932;;;;
DIVINOLÂNDIA;2° DOSE;1759;;;;
DOBRADA;1° DOSE;1029;;;;
DOBRADA;2° DOSE;508;;;;
DOIS CÓRREGOS;1° DOSE;4484;;;;
DOIS CÓRREGOS;2° DOSE;2593;;;;
DOLCINÓPOLIS;1° DOSE;526;;;;
DOLCINÓPOLIS;2° DOSE;339;;;;
DOURADO;1° DOSE;1790;;;;
DOURADO;2° DOSE;1060;;;;
DRACENA;1° DOSE;10615;;;;
DRACENA;2° DOSE;6106;;;;
DUARTINA;1° DOSE;2996;;;;
DUARTINA;2° DOSE;1773;;;;
DUMONT;1° DOSE;1334;;;;
DUMONT;2° DOSE;730;;;;
ECHAPORÃ;1° DOSE;1303;;;;
ECHAPORÃ;2° DOSE;890;;;;
ELDORADO;1° DOSE;3971;;;;
ELDORADO;2° DOSE;2192;;;;
ELIAS FAUSTO;1° DOSE;2300;;;;
ELIAS FAUSTO;2° DOSE;1291;;;;
ELISIÁRIO;1° DOSE;631;;;;
ELISIÁRIO;2° DOSE;391;;;;
EMBAÚBA;1° DOSE;476;;;;
EMBAÚBA;2° DOSE;296;;;;
EMBU DAS ARTES;1° DOSE;29265;;;;
EMBU DAS ARTES;2° DOSE;15422;;;;
EMBU-GUAÇU;1° DOSE;7597;;;;
EMBU-GUAÇU;2° DOSE;5255;;;;
EMILIANÓPOLIS;1° DOSE;686;;;;
EMILIANÓPOLIS;2° DOSE;443;;;;
ENGENHEIRO COELHO;1° DOSE;2110;;;;
ENGENHEIRO COELHO;2° DOSE;1274;;;;
ESPÍRITO SANTO DO PINHAL;1° DOSE;8587;;;;
ESPÍRITO SANTO DO PINHAL;2° DOSE;5089;;;;
ESPÍRITO SANTO DO TURVO;1° DOSE;639;;;;
ESPÍRITO SANTO DO TURVO;2° DOSE;350;;;;
ESTIVA GERBI;1° DOSE;1749;;;;
ESTIVA GERBI;2° DOSE;773;;;;
ESTRELA DO NORTE;1° DOSE;488;;;;
ESTRELA DO NORTE;2° DOSE;269;;;;
ESTRELA D'OESTE;1° DOSE;1837;;;;
ESTRELA D'OESTE;2° DOSE;1142;;;;
EUCLIDES DA CUNHA PAULISTA;1° DOSE;1353;;;;
EUCLIDES DA CUNHA PAULISTA;2° DOSE;718;;;;
FARTURA;1° DOSE;3091;;;;
FARTURA;2° DOSE;1789;;;;
FERNANDO PRESTES;1° DOSE;1355;;;;
FERNANDO PRESTES;2° DOSE;843;;;;
FERNANDÓPOLIS;1° DOSE;16241;;;;
FERNANDÓPOLIS;2° DOSE;9854;;;;
FERNÃO;1° DOSE;376;;;;
FERNÃO;2° DOSE;247;;;;
FERRAZ DE VASCONCELOS;1° DOSE;19726;;;;
FERRAZ DE VASCONCELOS;2° DOSE;11592;;;;
FLORA RICA;1° DOSE;503;;;;
FLORA RICA;2° DOSE;324;;;;
FLOREAL;1° DOSE;855;;;;
FLOREAL;2° DOSE;509;;;;
FLÓRIDA PAULISTA;1° DOSE;2205;;;;
FLÓRIDA PAULISTA;2° DOSE;1358;;;;
FLORÍNEA;1° DOSE;660;;;;
FLORÍNEA;2° DOSE;393;;;;
FRANCA;1° DOSE;54177;;;;
FRANCA;2° DOSE;31887;;;;
FRANCISCO MORATO;1° DOSE;19474;;;;
FRANCISCO MORATO;2° DOSE;9076;;;;
FRANCO DA ROCHA;1° DOSE;21290;;;;
FRANCO DA ROCHA;2° DOSE;10781;;;;
GABRIEL MONTEIRO;1° DOSE;583;;;;
GABRIEL MONTEIRO;2° DOSE;348;;;;
GÁLIA;1° DOSE;1523;;;;
GÁLIA;2° DOSE;959;;;;
GARÇA;1° DOSE;8757;;;;
GARÇA;2° DOSE;4955;;;;
GASTÃO VIDIGAL;1° DOSE;736;;;;
GASTÃO VIDIGAL;2° DOSE;470;;;;
GAVIÃO PEIXOTO;1° DOSE;747;;;;
GAVIÃO PEIXOTO;2° DOSE;355;;;;
GENERAL SALGADO;1° DOSE;2320;;;;
GENERAL SALGADO;2° DOSE;1427;;;;
GETULINA;1° DOSE;1815;;;;
GETULINA;2° DOSE;1206;;;;
GLICÉRIO;1° DOSE;775;;;;
GLICÉRIO;2° DOSE;496;;;;
GUAIÇARA;1° DOSE;1706;;;;
GUAIÇARA;2° DOSE;934;;;;
GUAIMBÊ;1° DOSE;1044;;;;
GUAIMBÊ;2° DOSE;621;;;;
GUAÍRA;1° DOSE;6556;;;;
GUAÍRA;2° DOSE;3972;;;;
GUAPIAÇU;1° DOSE;3298;;;;
GUAPIAÇU;2° DOSE;2003;;;;
GUAPIARA;1° DOSE;2842;;;;
GUAPIARA;2° DOSE;1623;;;;
GUARÁ;1° DOSE;3293;;;;
GUARÁ;2° DOSE;2186;;;;
GUARAÇAÍ;1° DOSE;1794;;;;
GUARAÇAÍ;2° DOSE;1017;;;;
GUARACI;1° DOSE;1711;;;;
GUARACI;2° DOSE;1142;;;;
GUARANI D'OESTE;1° DOSE;414;;;;
GUARANI D'OESTE;2° DOSE;260;;;;
GUARANTÃ;1° DOSE;1090;;;;
GUARANTÃ;2° DOSE;662;;;;
GUARARAPES;1° DOSE;5695;;;;
GUARARAPES;2° DOSE;3534;;;;
GUARAREMA;1° DOSE;4757;;;;
GUARAREMA;2° DOSE;2905;;;;
GUARATINGUETÁ;1° DOSE;20757;;;;
GUARATINGUETÁ;2° DOSE;11036;;;;
GUAREÍ;1° DOSE;1924;;;;
GUAREÍ;2° DOSE;1119;;;;
GUARIBA;1° DOSE;4582;;;;
GUARIBA;2° DOSE;2605;;;;
GUARUJÁ;1° DOSE;44763;;;;
GUARUJÁ;2° DOSE;21648;;;;
GUARULHOS;1° DOSE;139262;;;;
GUARULHOS;2° DOSE;82096;;;;
GUATAPARÁ;1° DOSE;1305;;;;
GUATAPARÁ;2° DOSE;743;;;;
GUZOLÂNDIA;1° DOSE;785;;;;
GUZOLÂNDIA;2° DOSE;460;;;;
HERCULÂNDIA;1° DOSE;1489;;;;
HERCULÂNDIA;2° DOSE;860;;;;
HOLAMBRA;1° DOSE;2053;;;;
HOLAMBRA;2° DOSE;1177;;;;
HORTOLÂNDIA;1° DOSE;27041;;;;
HORTOLÂNDIA;2° DOSE;11541;;;;
IACANGA;1° DOSE;2092;;;;
IACANGA;2° DOSE;1256;;;;
IACRI;1° DOSE;1238;;;;
IACRI;2° DOSE;780;;;;
IARAS;1° DOSE;899;;;;
IARAS;2° DOSE;446;;;;
IBATÉ;1° DOSE;4039;;;;
IBATÉ;2° DOSE;2255;;;;
IBIRÁ;1° DOSE;2385;;;;
IBIRÁ;2° DOSE;1458;;;;
IBIRAREMA;1° DOSE;1324;;;;
IBIRAREMA;2° DOSE;839;;;;
IBITINGA;1° DOSE;9658;;;;
IBITINGA;2° DOSE;5831;;;;
IBIÚNA;1° DOSE;12382;;;;
IBIÚNA;2° DOSE;6896;;;;
ICÉM;1° DOSE;1331;;;;
ICÉM;2° DOSE;759;;;;
IEPÊ;1° DOSE;1616;;;;
IEPÊ;2° DOSE;1008;;;;
IGARAÇU DO TIETÊ;1° DOSE;3084;;;;
IGARAÇU DO TIETÊ;2° DOSE;1696;;;;
IGARAPAVA;1° DOSE;4484;;;;
IGARAPAVA;2° DOSE;2553;;;;
IGARATÁ;1° DOSE;1638;;;;
IGARATÁ;2° DOSE;1025;;;;
IGUAPE;1° DOSE;5718;;;;
IGUAPE;2° DOSE;3553;;;;
ILHA COMPRIDA;1° DOSE;2302;;;;
ILHA COMPRIDA;2° DOSE;1363;;;;
ILHA SOLTEIRA;1° DOSE;5719;;;;
ILHA SOLTEIRA;2° DOSE;3650;;;;
ILHABELA;1° DOSE;4717;;;;
ILHABELA;2° DOSE;2716;;;;
INDAIATUBA;1° DOSE;37684;;;;
INDAIATUBA;2° DOSE;23707;;;;
INDIANA;1° DOSE;1056;;;;
INDIANA;2° DOSE;544;;;;
INDIAPORÃ;1° DOSE;1025;;;;
INDIAPORÃ;2° DOSE;669;;;;
INÚBIA PAULISTA;1° DOSE;752;;;;
INÚBIA PAULISTA;2° DOSE;456;;;;
IPAUSSU;1° DOSE;2313;;;;
IPAUSSU;2° DOSE;1418;;;;
IPERÓ;1° DOSE;3526;;;;
IPERÓ;2° DOSE;2046;;;;
IPEÚNA;1° DOSE;805;;;;
IPEÚNA;2° DOSE;466;;;;
IPIGUÁ;1° DOSE;982;;;;
IPIGUÁ;2° DOSE;592;;;;
IPORANGA;1° DOSE;1023;;;;
IPORANGA;2° DOSE;636;;;;
IPUÃ;1° DOSE;2143;;;;
IPUÃ;2° DOSE;1264;;;;
IRACEMÁPOLIS;1° DOSE;3087;;;;
IRACEMÁPOLIS;2° DOSE;1907;;;;
IRAPUÃ;1° DOSE;1319;;;;
IRAPUÃ;2° DOSE;796;;;;
IRAPURU;1° DOSE;1483;;;;
IRAPURU;2° DOSE;805;;;;
ITABERÁ;1° DOSE;3216;;;;
ITABERÁ;2° DOSE;1728;;;;
ITAÍ;1° DOSE;3582;;;;
ITAÍ;2° DOSE;2032;;;;
ITAJOBI;1° DOSE;3356;;;;
ITAJOBI;2° DOSE;2079;;;;
ITAJU;1° DOSE;675;;;;
ITAJU;2° DOSE;384;;;;
ITANHAÉM;1° DOSE;18155;;;;
ITANHAÉM;2° DOSE;11964;;;;
ITAOCA;1° DOSE;654;;;;
ITAOCA;2° DOSE;562;;;;
ITAPECERICA DA SERRA;1° DOSE;18551;;;;
ITAPECERICA DA SERRA;2° DOSE;10254;;;;
ITAPETININGA;1° DOSE;25353;;;;
ITAPETININGA;2° DOSE;15629;;;;
ITAPEVA;1° DOSE;14163;;;;
ITAPEVA;2° DOSE;8353;;;;
ITAPEVI;1° DOSE;20414;;;;
ITAPEVI;2° DOSE;12327;;;;
ITAPIRA;1° DOSE;14181;;;;
ITAPIRA;2° DOSE;8831;;;;
ITAPIRAPUÃ PAULISTA;1° DOSE;563;;;;
ITAPIRAPUÃ PAULISTA;2° DOSE;348;;;;
ITÁPOLIS;1° DOSE;7679;;;;
ITÁPOLIS;2° DOSE;4552;;;;
ITAPORANGA;1° DOSE;2818;;;;
ITAPORANGA;2° DOSE;1563;;;;
ITAPUÍ;1° DOSE;2058;;;;
ITAPUÍ;2° DOSE;1187;;;;
ITAPURA;1° DOSE;782;;;;
ITAPURA;2° DOSE;455;;;;
ITAQUAQUECETUBA;1° DOSE;30336;;;;
ITAQUAQUECETUBA;2° DOSE;15951;;;;
ITARARÉ;1° DOSE;7473;;;;
ITARARÉ;2° DOSE;4393;;;;
ITARIRI;1° DOSE;2388;;;;
ITARIRI;2° DOSE;1429;;;;
ITATIBA;1° DOSE;18383;;;;
ITATIBA;2° DOSE;11041;;;;
ITATINGA;1° DOSE;2474;;;;
ITATINGA;2° DOSE;1405;;;;
ITIRAPINA;1° DOSE;2195;;;;
ITIRAPINA;2° DOSE;1408;;;;
ITIRAPUÃ;1° DOSE;1180;;;;
ITIRAPUÃ;2° DOSE;643;;;;
ITOBI;1° DOSE;1550;;;;
ITOBI;2° DOSE;726;;;;
ITU;1° DOSE;26220;;;;
ITU;2° DOSE;15113;;;;
ITUPEVA;1° DOSE;6389;;;;
ITUPEVA;2° DOSE;3366;;;;
ITUVERAVA;1° DOSE;8288;;;;
ITUVERAVA;2° DOSE;4675;;;;
JABORANDI;1° DOSE;1226;;;;
JABORANDI;2° DOSE;723;;;;
JABOTICABAL;1° DOSE;13545;;;;
JABOTICABAL;2° DOSE;8093;;;;
JACAREÍ;1° DOSE;36862;;;;
JACAREÍ;2° DOSE;22231;;;;
JACI;1° DOSE;1224;;;;
JACI;2° DOSE;814;;;;
JACUPIRANGA;1° DOSE;2558;;;;
JACUPIRANGA;2° DOSE;1503;;;;
JAGUARIÚNA;1° DOSE;8035;;;;
JAGUARIÚNA;2° DOSE;4507;;;;
JALES;1° DOSE;11249;;;;
JALES;2° DOSE;6735;;;;
JAMBEIRO;1° DOSE;995;;;;
JAMBEIRO;2° DOSE;527;;;;
JANDIRA;1° DOSE;12071;;;;
JANDIRA;2° DOSE;6657;;;;
JARDINÓPOLIS;1° DOSE;6333;;;;
JARDINÓPOLIS;2° DOSE;3908;;;;
JARINU;1° DOSE;4182;;;;
JARINU;2° DOSE;1962;;;;
JAÚ;1° DOSE;26513;;;;
JAÚ;2° DOSE;16104;;;;
JERIQUARA;1° DOSE;520;;;;
JERIQUARA;2° DOSE;317;;;;
JOANÓPOLIS;1° DOSE;2554;;;;
JOANÓPOLIS;2° DOSE;1574;;;;
JOÃO RAMALHO;1° DOSE;637;;;;
JOÃO RAMALHO;2° DOSE;362;;;;
JOSÉ BONIFÁCIO;1° DOSE;6070;;;;
JOSÉ BONIFÁCIO;2° DOSE;3690;;;;
JÚLIO MESQUITA;1° DOSE;730;;;;
JÚLIO MESQUITA;2° DOSE;402;;;;
JUMIRIM;1° DOSE;487;;;;
JUMIRIM;2° DOSE;263;;;;
JUNDIAÍ;1° DOSE;71120;;;;
JUNDIAÍ;2° DOSE;42071;;;;
JUNQUEIRÓPOLIS;1° DOSE;3955;;;;
JUNQUEIRÓPOLIS;2° DOSE;2420;;;;
JUQUIÁ;1° DOSE;3209;;;;
JUQUIÁ;2° DOSE;1947;;;;
JUQUITIBA;1° DOSE;4677;;;;
JUQUITIBA;2° DOSE;2633;;;;
