Município;Dose;Total Doses Aplicadas;;;
APARECIDA D'OESTE;1° DOSE;1312;;;
APARECIDA D'OESTE;2° DOSE;738;;;
APIAÍ;1° DOSE;4422;;;
APIAÍ;2° DOSE;2451;;;
ARAÇARIGUAMA;1° DOSE;2313;;;
ARAÇARIGUAMA;2° DOSE;1368;;;
ARAÇATUBA;1° DOSE;43413;;;
ARAÇATUBA;2° DOSE;25622;;;
ARAÇOIABA DA SERRA;1° DOSE;5088;;;
ARAÇOIABA DA SERRA;2° DOSE;2792;;;
ARAMINA;1° DOSE;1123;;;
ARAMINA;2° DOSE;584;;;
ARANDU;1° DOSE;1125;;;
ARANDU;2° DOSE;616;;;
ARAPEÍ;1° DOSE;563;;;
ARAPEÍ;2° DOSE;317;;;
ARARAQUARA;1° DOSE;52778;;;
ARARAQUARA;2° DOSE;29993;;;
ARARAS;1° DOSE;27876;;;
ARARAS;2° DOSE;14802;;;
ARCO-ÍRIS;1° DOSE;640;;;
ARCO-ÍRIS;2° DOSE;457;;;
AREALVA;1° DOSE;2119;;;
AREALVA;2° DOSE;1131;;;
AREIAS;1° DOSE;750;;;
AREIAS;2° DOSE;432;;;
AREIÓPOLIS;1° DOSE;1435;;;
AREIÓPOLIS;2° DOSE;678;;;
ARIRANHA;1° DOSE;1911;;;
ARIRANHA;2° DOSE;1041;;;
ARTUR NOGUEIRA;1° DOSE;8386;;;
ARTUR NOGUEIRA;2° DOSE;4352;;;
ARUJÁ;1° DOSE;13613;;;
ARUJÁ;2° DOSE;6569;;;
ASPÁSIA;1° DOSE;517;;;
ASPÁSIA;2° DOSE;284;;;
ASSIS;1° DOSE;22859;;;
ASSIS;2° DOSE;11914;;;
ATIBAIA;1° DOSE;27080;;;
ATIBAIA;2° DOSE;15880;;;
AURIFLAMA;1° DOSE;3191;;;
AURIFLAMA;2° DOSE;1723;;;
AVAÍ;1° DOSE;1268;;;
AVAÍ;2° DOSE;878;;;
AVANHANDAVA;1° DOSE;1795;;;
AVANHANDAVA;2° DOSE;924;;;
AVARÉ;1° DOSE;17987;;;
AVARÉ;2° DOSE;9785;;;
BADY BASSITT;1° DOSE;3685;;;
BADY BASSITT;2° DOSE;1970;;;
BALBINOS;1° DOSE;407;;;
BALBINOS;2° DOSE;154;;;
BÁLSAMO;1° DOSE;2247;;;
BÁLSAMO;2° DOSE;1252;;;
BANANAL;1° DOSE;2303;;;
BANANAL;2° DOSE;1409;;;
BARÃO DE ANTONINA;1° DOSE;738;;;
BARÃO DE ANTONINA;2° DOSE;468;;;
BARBOSA;1° DOSE;1282;;;
BARBOSA;2° DOSE;764;;;
BARIRI;1° DOSE;7189;;;
BARIRI;2° DOSE;3951;;;
BARRA BONITA;1° DOSE;8346;;;
BARRA BONITA;2° DOSE;4384;;;
BARRA DO CHAPÉU;1° DOSE;849;;;
BARRA DO CHAPÉU;2° DOSE;426;;;
BARRA DO TURVO;1° DOSE;1973;;;
BARRA DO TURVO;2° DOSE;1273;;;
BARRETOS;1° DOSE;27363;;;
BARRETOS;2° DOSE;15641;;;
BARRINHA;1° DOSE;3762;;;
BARRINHA;2° DOSE;2076;;;
BARUERI;1° DOSE;41665;;;
BARUERI;2° DOSE;24047;;;
BASTOS;1° DOSE;4368;;;
BASTOS;2° DOSE;2200;;;
BATATAIS;1° DOSE;12549;;;
BATATAIS;2° DOSE;6374;;;
BAURU;1° DOSE;79913;;;
BAURU;2° DOSE;43882;;;
BEBEDOURO;1° DOSE;16401;;;
BEBEDOURO;2° DOSE;9369;;;
BENTO DE ABREU;1° DOSE;518;;;
BENTO DE ABREU;2° DOSE;270;;;
BERNARDINO DE CAMPOS;1° DOSE;2733;;;
BERNARDINO DE CAMPOS;2° DOSE;1444;;;
BERTIOGA;1° DOSE;8756;;;
BERTIOGA;2° DOSE;4785;;;
BILAC;1° DOSE;1982;;;
BILAC;2° DOSE;1095;;;
BIRIGUI;1° DOSE;18825;;;
BIRIGUI;2° DOSE;10485;;;
BIRITIBA MIRIM;1° DOSE;4889;;;
BIRITIBA MIRIM;2° DOSE;2697;;;
BOA ESPERANÇA DO SUL;1° DOSE;2288;;;
BOA ESPERANÇA DO SUL;2° DOSE;1174;;;
BOCAINA;1° DOSE;2210;;;
BOCAINA;2° DOSE;1199;;;
BOFETE;1° DOSE;2273;;;
BOFETE;2° DOSE;1153;;;
BOITUVA;1° DOSE;8944;;;
BOITUVA;2° DOSE;4610;;;
BOM JESUS DOS PERDÕES;1° DOSE;3335;;;
BOM JESUS DOS PERDÕES;2° DOSE;1627;;;
BOM SUCESSO DE ITARARÉ;1° DOSE;454;;;
BOM SUCESSO DE ITARARÉ;2° DOSE;213;;;
BORÁ;1° DOSE;221;;;
BORÁ;2° DOSE;123;;;
BORACÉIA;1° DOSE;909;;;
BORACÉIA;2° DOSE;553;;;
BORBOREMA;1° DOSE;3414;;;
BORBOREMA;2° DOSE;1673;;;
BOREBI;1° DOSE;462;;;
BOREBI;2° DOSE;206;;;
BOTUCATU;1° DOSE;35834;;;
BOTUCATU;2° DOSE;19871;;;
BRAGANÇA PAULISTA;1° DOSE;32978;;;
BRAGANÇA PAULISTA;2° DOSE;19443;;;
BRAÚNA;1° DOSE;1261;;;
BRAÚNA;2° DOSE;742;;;
BREJO ALEGRE;1° DOSE;602;;;
BREJO ALEGRE;2° DOSE;369;;;
BRODOWSKI;1° DOSE;4222;;;
BRODOWSKI;2° DOSE;2476;;;
BROTAS;1° DOSE;4620;;;
BROTAS;2° DOSE;2477;;;
BURI;1° DOSE;2852;;;
BURI;2° DOSE;1448;;;
BURITAMA;1° DOSE;3589;;;
BURITAMA;2° DOSE;1836;;;
BURITIZAL;1° DOSE;964;;;
BURITIZAL;2° DOSE;516;;;
CABRÁLIA PAULISTA;1° DOSE;854;;;
CABRÁLIA PAULISTA;2° DOSE;436;;;
CABREÚVA;1° DOSE;5170;;;
CABREÚVA;2° DOSE;2660;;;
CAÇAPAVA;1° DOSE;15905;;;
CAÇAPAVA;2° DOSE;9160;;;
CACHOEIRA PAULISTA;1° DOSE;6271;;;
CACHOEIRA PAULISTA;2° DOSE;3679;;;
CACONDE;1° DOSE;3814;;;
CACONDE;2° DOSE;2152;;;
CAFELÂNDIA;1° DOSE;3358;;;
CAFELÂNDIA;2° DOSE;1957;;;
CAIABU;1° DOSE;882;;;
CAIABU;2° DOSE;439;;;
CAIEIRAS;1° DOSE;14430;;;
CAIEIRAS;2° DOSE;7251;;;
CAIUÁ;1° DOSE;1060;;;
CAIUÁ;2° DOSE;649;;;
CAJAMAR;1° DOSE;9017;;;
CAJAMAR;2° DOSE;3498;;;
CAJATI;1° DOSE;4162;;;
CAJATI;2° DOSE;2258;;;
CAJOBI;1° DOSE;2205;;;
CAJOBI;2° DOSE;1216;;;
CAJURU;1° DOSE;4535;;;
CAJURU;2° DOSE;2803;;;
CAMPINA DO MONTE ALEGRE;1° DOSE;1194;;;
CAMPINA DO MONTE ALEGRE;2° DOSE;530;;;
CAMPINAS;1° DOSE;219672;;;
CAMPINAS;2° DOSE;133078;;;
CAMPO LIMPO PAULISTA;1° DOSE;11849;;;
CAMPO LIMPO PAULISTA;2° DOSE;5896;;;
CAMPOS DO JORDÃO;1° DOSE;8238;;;
CAMPOS DO JORDÃO;2° DOSE;4421;;;
CAMPOS NOVOS PAULISTA;1° DOSE;974;;;
CAMPOS NOVOS PAULISTA;2° DOSE;508;;;
CANANÉIA;1° DOSE;2405;;;
CANANÉIA;2° DOSE;1317;;;
CANAS;1° DOSE;755;;;
CANAS;2° DOSE;373;;;
CÂNDIDO MOTA;1° DOSE;6425;;;
CÂNDIDO MOTA;2° DOSE;3096;;;
CÂNDIDO RODRIGUES;1° DOSE;786;;;
CÂNDIDO RODRIGUES;2° DOSE;383;;;
CANITAR;1° DOSE;746;;;
CANITAR;2° DOSE;386;;;
CAPÃO BONITO;1° DOSE;8060;;;
CAPÃO BONITO;2° DOSE;3991;;;
CAPELA DO ALTO;1° DOSE;2955;;;
CAPELA DO ALTO;2° DOSE;1534;;;
CAPIVARI;1° DOSE;8864;;;
CAPIVARI;2° DOSE;4709;;;
CARAGUATATUBA;1° DOSE;19213;;;
CARAGUATATUBA;2° DOSE;10444;;;
CARAPICUÍBA;1° DOSE;53306;;;
CARAPICUÍBA;2° DOSE;27202;;;
CARDOSO;1° DOSE;2653;;;
CARDOSO;2° DOSE;1556;;;
CASA BRANCA;1° DOSE;5659;;;
CASA BRANCA;2° DOSE;3107;;;
CÁSSIA DOS COQUEIROS;1° DOSE;686;;;
CÁSSIA DOS COQUEIROS;2° DOSE;344;;;
CASTILHO;1° DOSE;4199;;;
CASTILHO;2° DOSE;2263;;;
CATANDUVA;1° DOSE;29781;;;
CATANDUVA;2° DOSE;18397;;;
CATIGUÁ;1° DOSE;1444;;;
CATIGUÁ;2° DOSE;731;;;
CEDRAL;1° DOSE;2403;;;
CEDRAL;2° DOSE;1302;;;
CERQUEIRA CÉSAR;1° DOSE;3835;;;
CERQUEIRA CÉSAR;2° DOSE;1925;;;
CERQUILHO;1° DOSE;8255;;;
CERQUILHO;2° DOSE;4019;;;
CESÁRIO LANGE;1° DOSE;2744;;;
CESÁRIO LANGE;2° DOSE;1571;;;
CHARQUEADA;1° DOSE;2637;;;
CHARQUEADA;2° DOSE;1530;;;
CHAVANTES;1° DOSE;2384;;;
CHAVANTES;2° DOSE;1177;;;
CLEMENTINA;1° DOSE;1347;;;
CLEMENTINA;2° DOSE;653;;;
COLINA;1° DOSE;3772;;;
COLINA;2° DOSE;2028;;;
COLÔMBIA;1° DOSE;1211;;;
COLÔMBIA;2° DOSE;686;;;
CONCHAL;1° DOSE;4355;;;
CONCHAL;2° DOSE;2354;;;
CONCHAS;1° DOSE;3679;;;
CONCHAS;2° DOSE;1866;;;
CORDEIRÓPOLIS;1° DOSE;3624;;;
CORDEIRÓPOLIS;2° DOSE;2031;;;
COROADOS;1° DOSE;1130;;;
COROADOS;2° DOSE;553;;;
CORONEL MACEDO;1° DOSE;1103;;;
CORONEL MACEDO;2° DOSE;571;;;
CORUMBATAÍ;1° DOSE;800;;;
CORUMBATAÍ;2° DOSE;475;;;
COSMÓPOLIS;1° DOSE;8669;;;
COSMÓPOLIS;2° DOSE;4393;;;
COSMORAMA;1° DOSE;1980;;;
COSMORAMA;2° DOSE;1042;;;
COTIA;1° DOSE;33886;;;
COTIA;2° DOSE;16740;;;
CRAVINHOS;1° DOSE;5521;;;
CRAVINHOS;2° DOSE;2782;;;
CRISTAIS PAULISTA;1° DOSE;1582;;;
CRISTAIS PAULISTA;2° DOSE;786;;;
CRUZÁLIA;1° DOSE;578;;;
CRUZÁLIA;2° DOSE;233;;;
CRUZEIRO;1° DOSE;14478;;;
CRUZEIRO;2° DOSE;7906;;;
CUBATÃO;1° DOSE;17800;;;
CUBATÃO;2° DOSE;9829;;;
CUNHA;1° DOSE;4470;;;
CUNHA;2° DOSE;2290;;;
DESCALVADO;1° DOSE;7499;;;
DESCALVADO;2° DOSE;4606;;;
DIADEMA;1° DOSE;58586;;;
DIADEMA;2° DOSE;28130;;;
DIRCE REIS;1° DOSE;450;;;
DIRCE REIS;2° DOSE;251;;;
DIVINOLÂNDIA;1° DOSE;3360;;;
DIVINOLÂNDIA;2° DOSE;1759;;;
DOBRADA;1° DOSE;1134;;;
DOBRADA;2° DOSE;621;;;
DOIS CÓRREGOS;1° DOSE;4631;;;
DOIS CÓRREGOS;2° DOSE;2632;;;
DOLCINÓPOLIS;1° DOSE;628;;;
DOLCINÓPOLIS;2° DOSE;339;;;
DOURADO;1° DOSE;1921;;;
DOURADO;2° DOSE;1134;;;
DRACENA;1° DOSE;11214;;;
DRACENA;2° DOSE;7109;;;
DUARTINA;1° DOSE;3334;;;
DUARTINA;2° DOSE;1870;;;
DUMONT;1° DOSE;1477;;;
DUMONT;2° DOSE;812;;;
ECHAPORÃ;1° DOSE;1402;;;
ECHAPORÃ;2° DOSE;989;;;
ELDORADO;1° DOSE;4017;;;
ELDORADO;2° DOSE;2271;;;
ELIAS FAUSTO;1° DOSE;2693;;;
ELIAS FAUSTO;2° DOSE;1382;;;
ELISIÁRIO;1° DOSE;707;;;
ELISIÁRIO;2° DOSE;407;;;
EMBAÚBA;1° DOSE;571;;;
EMBAÚBA;2° DOSE;296;;;
EMBU DAS ARTES;1° DOSE;32310;;;
EMBU DAS ARTES;2° DOSE;16875;;;
EMBU-GUAÇU;1° DOSE;8139;;;
EMBU-GUAÇU;2° DOSE;5736;;;
EMILIANÓPOLIS;1° DOSE;720;;;
EMILIANÓPOLIS;2° DOSE;471;;;
ENGENHEIRO COELHO;1° DOSE;2424;;;
ENGENHEIRO COELHO;2° DOSE;1425;;;
ESPÍRITO SANTO DO PINHAL;1° DOSE;9914;;;
ESPÍRITO SANTO DO PINHAL;2° DOSE;5582;;;
ESPÍRITO SANTO DO TURVO;1° DOSE;740;;;
ESPÍRITO SANTO DO TURVO;2° DOSE;353;;;
ESTIVA GERBI;1° DOSE;1962;;;
ESTIVA GERBI;2° DOSE;849;;;
ESTRELA DO NORTE;1° DOSE;585;;;
ESTRELA DO NORTE;2° DOSE;269;;;
ESTRELA D'OESTE;1° DOSE;2120;;;
ESTRELA D'OESTE;2° DOSE;1187;;;
EUCLIDES DA CUNHA PAULISTA;1° DOSE;1551;;;
EUCLIDES DA CUNHA PAULISTA;2° DOSE;762;;;
FARTURA;1° DOSE;3106;;;
FARTURA;2° DOSE;1859;;;
FERNANDO PRESTES;1° DOSE;1520;;;
FERNANDO PRESTES;2° DOSE;899;;;
FERNANDÓPOLIS;1° DOSE;18503;;;
FERNANDÓPOLIS;2° DOSE;10566;;;
FERNÃO;1° DOSE;436;;;
FERNÃO;2° DOSE;265;;;
FERRAZ DE VASCONCELOS;1° DOSE;22668;;;
FERRAZ DE VASCONCELOS;2° DOSE;13111;;;
FLORA RICA;1° DOSE;515;;;
FLORA RICA;2° DOSE;324;;;
FLOREAL;1° DOSE;968;;;
FLOREAL;2° DOSE;513;;;
FLÓRIDA PAULISTA;1° DOSE;2581;;;
FLÓRIDA PAULISTA;2° DOSE;1454;;;
FLORÍNEA;1° DOSE;754;;;
FLORÍNEA;2° DOSE;434;;;
FRANCA;1° DOSE;61735;;;
FRANCA;2° DOSE;32115;;;
FRANCISCO MORATO;1° DOSE;21013;;;
FRANCISCO MORATO;2° DOSE;9523;;;
FRANCO DA ROCHA;1° DOSE;22868;;;
FRANCO DA ROCHA;2° DOSE;11741;;;
GABRIEL MONTEIRO;1° DOSE;705;;;
GABRIEL MONTEIRO;2° DOSE;357;;;
GÁLIA;1° DOSE;1668;;;
GÁLIA;2° DOSE;1015;;;
GARÇA;1° DOSE;10029;;;
GARÇA;2° DOSE;5323;;;
GASTÃO VIDIGAL;1° DOSE;849;;;
GASTÃO VIDIGAL;2° DOSE;511;;;
GAVIÃO PEIXOTO;1° DOSE;859;;;
GAVIÃO PEIXOTO;2° DOSE;382;;;
GENERAL SALGADO;1° DOSE;2674;;;
GENERAL SALGADO;2° DOSE;1500;;;
GETULINA;1° DOSE;2060;;;
GETULINA;2° DOSE;1263;;;
GLICÉRIO;1° DOSE;814;;;
GLICÉRIO;2° DOSE;520;;;
GUAIÇARA;1° DOSE;1860;;;
GUAIÇARA;2° DOSE;983;;;
GUAIMBÊ;1° DOSE;1209;;;
GUAIMBÊ;2° DOSE;648;;;
GUAÍRA;1° DOSE;7792;;;
GUAÍRA;2° DOSE;3993;;;
GUAPIAÇU;1° DOSE;3797;;;
GUAPIAÇU;2° DOSE;2054;;;
GUAPIARA;1° DOSE;3250;;;
GUAPIARA;2° DOSE;1732;;;
GUARÁ;1° DOSE;3808;;;
GUARÁ;2° DOSE;2345;;;
GUARAÇAÍ;1° DOSE;2119;;;
GUARAÇAÍ;2° DOSE;1051;;;
GUARACI;1° DOSE;1857;;;
GUARACI;2° DOSE;1175;;;
GUARANI D'OESTE;1° DOSE;548;;;
GUARANI D'OESTE;2° DOSE;281;;;
GUARANTÃ;1° DOSE;1266;;;
GUARANTÃ;2° DOSE;693;;;
GUARARAPES;1° DOSE;6287;;;
GUARARAPES;2° DOSE;3793;;;
GUARAREMA;1° DOSE;5527;;;
GUARAREMA;2° DOSE;2954;;;
GUARATINGUETÁ;1° DOSE;23207;;;
GUARATINGUETÁ;2° DOSE;12367;;;
GUAREÍ;1° DOSE;2238;;;
GUAREÍ;2° DOSE;1119;;;
GUARIBA;1° DOSE;5512;;;
GUARIBA;2° DOSE;2840;;;
GUARUJÁ;1° DOSE;47909;;;
GUARUJÁ;2° DOSE;23750;;;
GUARULHOS;1° DOSE;151129;;;
GUARULHOS;2° DOSE;89702;;;
GUATAPARÁ;1° DOSE;1490;;;
GUATAPARÁ;2° DOSE;744;;;
GUZOLÂNDIA;1° DOSE;896;;;
GUZOLÂNDIA;2° DOSE;460;;;
HERCULÂNDIA;1° DOSE;1743;;;
HERCULÂNDIA;2° DOSE;944;;;
HOLAMBRA;1° DOSE;2488;;;
HOLAMBRA;2° DOSE;1184;;;
HORTOLÂNDIA;1° DOSE;28137;;;
HORTOLÂNDIA;2° DOSE;13194;;;
IACANGA;1° DOSE;2302;;;
IACANGA;2° DOSE;1257;;;
IACRI;1° DOSE;1464;;;
IACRI;2° DOSE;816;;;
IARAS;1° DOSE;993;;;
IARAS;2° DOSE;448;;;
IBATÉ;1° DOSE;4798;;;
IBATÉ;2° DOSE;2286;;;
IBIRÁ;1° DOSE;2790;;;
IBIRÁ;2° DOSE;1538;;;
IBIRAREMA;1° DOSE;1452;;;
IBIRAREMA;2° DOSE;888;;;
IBITINGA;1° DOSE;10336;;;
IBITINGA;2° DOSE;5917;;;
IBIÚNA;1° DOSE;13935;;;
IBIÚNA;2° DOSE;7120;;;
ICÉM;1° DOSE;1508;;;
ICÉM;2° DOSE;773;;;
IEPÊ;1° DOSE;1879;;;
IEPÊ;2° DOSE;1061;;;
IGARAÇU DO TIETÊ;1° DOSE;3816;;;
IGARAÇU DO TIETÊ;2° DOSE;1746;;;
IGARAPAVA;1° DOSE;5388;;;
IGARAPAVA;2° DOSE;2713;;;
IGARATÁ;1° DOSE;1859;;;
IGARATÁ;2° DOSE;1028;;;
IGUAPE;1° DOSE;6671;;;
IGUAPE;2° DOSE;3819;;;
ILHA COMPRIDA;1° DOSE;2644;;;
ILHA COMPRIDA;2° DOSE;1378;;;
ILHA SOLTEIRA;1° DOSE;6586;;;
ILHA SOLTEIRA;2° DOSE;3878;;;
ILHABELA;1° DOSE;5610;;;
ILHABELA;2° DOSE;2899;;;
INDAIATUBA;1° DOSE;44988;;;
INDAIATUBA;2° DOSE;23730;;;
INDIANA;1° DOSE;1128;;;
INDIANA;2° DOSE;565;;;
INDIAPORÃ;1° DOSE;1084;;;
INDIAPORÃ;2° DOSE;699;;;
INÚBIA PAULISTA;1° DOSE;896;;;
INÚBIA PAULISTA;2° DOSE;483;;;
IPAUSSU;1° DOSE;2749;;;
IPAUSSU;2° DOSE;1519;;;
IPERÓ;1° DOSE;3798;;;
IPERÓ;2° DOSE;2063;;;
IPEÚNA;1° DOSE;959;;;
IPEÚNA;2° DOSE;539;;;
IPIGUÁ;1° DOSE;1109;;;
IPIGUÁ;2° DOSE;617;;;
IPORANGA;1° DOSE;1081;;;
IPORANGA;2° DOSE;681;;;
IPUÃ;1° DOSE;2501;;;
IPUÃ;2° DOSE;1367;;;
IRACEMÁPOLIS;1° DOSE;3339;;;
IRACEMÁPOLIS;2° DOSE;1934;;;
IRAPUÃ;1° DOSE;1547;;;
IRAPUÃ;2° DOSE;845;;;
IRAPURU;1° DOSE;1631;;;
IRAPURU;2° DOSE;808;;;
ITABERÁ;1° DOSE;3554;;;
ITABERÁ;2° DOSE;1729;;;
ITAÍ;1° DOSE;4102;;;
ITAÍ;2° DOSE;2053;;;
ITAJOBI;1° DOSE;3855;;;
ITAJOBI;2° DOSE;2134;;;
ITAJU;1° DOSE;761;;;
ITAJU;2° DOSE;408;;;
ITANHAÉM;1° DOSE;19437;;;
ITANHAÉM;2° DOSE;12348;;;
ITAOCA;1° DOSE;655;;;
ITAOCA;2° DOSE;563;;;
ITAPECERICA DA SERRA;1° DOSE;20819;;;
ITAPECERICA DA SERRA;2° DOSE;11222;;;
ITAPETININGA;1° DOSE;29653;;;
ITAPETININGA;2° DOSE;17005;;;
ITAPEVA;1° DOSE;16324;;;
ITAPEVA;2° DOSE;8567;;;
ITAPEVI;1° DOSE;23516;;;
ITAPEVI;2° DOSE;13483;;;
ITAPIRA;1° DOSE;16497;;;
ITAPIRA;2° DOSE;9384;;;
ITAPIRAPUÃ PAULISTA;1° DOSE;648;;;
ITAPIRAPUÃ PAULISTA;2° DOSE;378;;;
ITÁPOLIS;1° DOSE;8411;;;
ITÁPOLIS;2° DOSE;4813;;;
ITAPORANGA;1° DOSE;2830;;;
ITAPORANGA;2° DOSE;1658;;;
ITAPUÍ;1° DOSE;2437;;;
ITAPUÍ;2° DOSE;1258;;;
ITAPURA;1° DOSE;943;;;
ITAPURA;2° DOSE;455;;;
ITAQUAQUECETUBA;1° DOSE;32767;;;
ITAQUAQUECETUBA;2° DOSE;17261;;;
ITARARÉ;1° DOSE;8691;;;
ITARARÉ;2° DOSE;4524;;;
ITARIRI;1° DOSE;2690;;;
ITARIRI;2° DOSE;1553;;;
ITATIBA;1° DOSE;20344;;;
ITATIBA;2° DOSE;11434;;;
ITATINGA;1° DOSE;2937;;;
ITATINGA;2° DOSE;1423;;;
ITIRAPINA;1° DOSE;2419;;;
ITIRAPINA;2° DOSE;1528;;;
ITIRAPUÃ;1° DOSE;1241;;;
ITIRAPUÃ;2° DOSE;676;;;
ITOBI;1° DOSE;1574;;;
ITOBI;2° DOSE;772;;;
ITU;1° DOSE;30300;;;
ITU;2° DOSE;15306;;;
ITUPEVA;1° DOSE;7249;;;
ITUPEVA;2° DOSE;3549;;;
ITUVERAVA;1° DOSE;9160;;;
ITUVERAVA;2° DOSE;5089;;;
JABORANDI;1° DOSE;1364;;;
JABORANDI;2° DOSE;764;;;
JABOTICABAL;1° DOSE;15945;;;
JABOTICABAL;2° DOSE;8568;;;
JACAREÍ;1° DOSE;43566;;;
JACAREÍ;2° DOSE;23045;;;
JACI;1° DOSE;1379;;;
JACI;2° DOSE;857;;;
JACUPIRANGA;1° DOSE;2861;;;
JACUPIRANGA;2° DOSE;1608;;;
JAGUARIÚNA;1° DOSE;9271;;;
JAGUARIÚNA;2° DOSE;5072;;;
JALES;1° DOSE;12908;;;
JALES;2° DOSE;6827;;;
JAMBEIRO;1° DOSE;1098;;;
JAMBEIRO;2° DOSE;542;;;
JANDIRA;1° DOSE;14100;;;
JANDIRA;2° DOSE;7289;;;
JARDINÓPOLIS;1° DOSE;7108;;;
JARDINÓPOLIS;2° DOSE;4093;;;
JARINU;1° DOSE;4749;;;
JARINU;2° DOSE;2494;;;
JAÚ;1° DOSE;27101;;;
JAÚ;2° DOSE;17296;;;
JERIQUARA;1° DOSE;600;;;
JERIQUARA;2° DOSE;349;;;
JOANÓPOLIS;1° DOSE;2865;;;
JOANÓPOLIS;2° DOSE;1609;;;
JOÃO RAMALHO;1° DOSE;727;;;
JOÃO RAMALHO;2° DOSE;379;;;
JOSÉ BONIFÁCIO;1° DOSE;7125;;;
JOSÉ BONIFÁCIO;2° DOSE;3900;;;
JÚLIO MESQUITA;1° DOSE;842;;;
JÚLIO MESQUITA;2° DOSE;403;;;
JUMIRIM;1° DOSE;552;;;
JUMIRIM;2° DOSE;263;;;
JUNDIAÍ;1° DOSE;75890;;;
JUNDIAÍ;2° DOSE;42773;;;
JUNQUEIRÓPOLIS;1° DOSE;4302;;;
JUNQUEIRÓPOLIS;2° DOSE;2541;;;
JUQUIÁ;1° DOSE;3493;;;
JUQUIÁ;2° DOSE;2124;;;
JUQUITIBA;1° DOSE;5054;;;
JUQUITIBA;2° DOSE;2805;;;
LAGOINHA;1° DOSE;1344;;;
LAGOINHA;2° DOSE;720;;;
LARANJAL PAULISTA;1° DOSE;5636;;;
LARANJAL PAULISTA;2° DOSE;3011;;;
LAVÍNIA;1° DOSE;1232;;;
LAVÍNIA;2° DOSE;634;;;
LAVRINHAS;1° DOSE;932;;;
LAVRINHAS;2° DOSE;489;;;
LEME;1° DOSE;17581;;;
LEME;2° DOSE;9931;;;
LENÇÓIS PAULISTA;1° DOSE;10752;;;
LENÇÓIS PAULISTA;2° DOSE;5987;;;
LIMEIRA;1° DOSE;48101;;;
LIMEIRA;2° DOSE;24947;;;
LINDÓIA;1° DOSE;1517;;;
LINDÓIA;2° DOSE;756;;;
LINS;1° DOSE;17094;;;
LINS;2° DOSE;9542;;;
LORENA;1° DOSE;14751;;;
LORENA;2° DOSE;8932;;;
LOURDES;1° DOSE;608;;;
LOURDES;2° DOSE;342;;;
LOUVEIRA;1° DOSE;5289;;;
LOUVEIRA;2° DOSE;2990;;;
LUCÉLIA;1° DOSE;4133;;;
LUCÉLIA;2° DOSE;2572;;;
LUCIANÓPOLIS;1° DOSE;588;;;
LUCIANÓPOLIS;2° DOSE;269;;;
